Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,622416,b'Federal',54.040188,-160.49251,-10,-10,93273.016,-,s,deg,s,deg,s,W/m,s,m,-,2182,v1.0.0
Year,Month,Day,Hour,Minute,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width
2010,1,1,0,0,0.5808590054512024,6.198599815368652,42.5,7.168000221252441,8.366299629211426,14156,8.274100303649902,1.8582600355148315,0.3151800036430359
2010,1,1,3,0,0.552137017250061,5.807700157165527,42.5,6.751699924468994,8.038200378417969,13207,8.274100303649902,1.8314199447631836,0.3429099917411804
2010,1,1,6,0,0.5314099788665771,6.517099857330322,47.5,7.230999946594238,8.231300354003906,12159,8.274100303649902,1.7357399463653564,0.31766998767852783
2010,1,1,9,0,0.5011839866638184,6.633800029754639,57.5,7.376299858093262,8.39780044555664,11626,8.274100303649902,1.6803799867630005,0.32552000880241394
2010,1,1,12,0,0.5034070014953613,7.134099960327148,147.5,7.76170015335083,8.755800247192383,12295,8.274100303649902,1.692020058631897,0.3339200019836426
2010,1,1,15,0,0.5426099896430969,7.667699813842773,147.5,8.249600410461426,9.281200408935547,14892,11.013500213623047,1.8085299730300903,0.33991000056266785
2010,1,1,18,0,0.5030679702758789,8.204700469970703,147.5,8.814599990844727,9.928199768066406,19324,11.013500213623047,1.9918299913406372,0.34018999338150024
2010,1,1,21,0,0.547764003276825,8.603500366210938,67.5,9.318400382995605,10.496100425720215,24954,11.013500213623047,2.201479911804199,0.33017000555992126
2010,1,2,0,0,0.6096749901771545,9.140800476074219,52.5,9.760499954223633,10.859299659729004,30180,11.013500213623047,2.380110025405884,0.31290000677108765
2010,1,2,3,0,0.6503180265426636,9.317500114440918,47.5,9.953700065612793,11.01550006866455,33219,11.013500213623047,2.479330062866211,0.3001500070095062
2010,1,2,6,0,0.6764299869537354,8.851300239562988,47.5,9.84000015258789,11.02340030670166,34208,10.01200008392334,2.515320062637329,0.29467999935150146
2010,1,2,9,0,0.6774460077285767,6.997799873352051,47.5,8.516200065612793,10.439200401306152,34903,10.01200008392334,2.611599922180176,0.3445900082588196
2010,1,2,12,0,0.6618729829788208,6.626399993896484,47.5,8.021100044250488,9.976200103759766,35048,11.013500213623047,2.677190065383911,0.36287999153137207
2010,1,2,15,0,0.6499770283699036,6.587200164794922,47.5,7.947199821472168,9.80739974975586,33124,11.013500213623047,2.6250200271606445,0.35328999161720276
2010,1,2,18,0,0.6426060199737549,7.480199813842773,47.5,8.64009952545166,10.03499984741211,29068,11.013500213623047,2.4304699897766113,0.3013400137424469
2010,1,2,21,0,0.5866199731826782,6.360300064086914,52.5,7.6809000968933105,9.430899620056152,25630,10.01200008392334,2.354909896850586,0.33994001150131226
2010,1,3,0,0,0.47127100825309753,5.520500183105469,52.5,6.586699962615967,8.382399559020996,23636,10.01200008392334,2.3994100093841553,0.40255001187324524
2010,1,3,3,0,0.6057549715042114,5.258299827575684,167.5,6.0295000076293945,7.383900165557861,26194,10.01200008392334,2.6915199756622314,0.4104999899864197
2010,1,3,6,0,0.7281110286712646,5.538099765777588,172.5,6.208099842071533,7.245800018310547,31754,6.837800025939941,2.9908199310302734,0.3551799952983856
2010,1,3,9,0,0.8069729804992676,5.8871002197265625,172.5,6.500500202178955,7.377799987792969,39464,7.5218000411987305,3.303420066833496,0.31158000230789185
2010,1,3,12,0,0.8361790180206299,6.11899995803833,172.5,6.7399001121521,7.5954999923706055,40112,8.274100303649902,3.2821099758148193,0.29603999853134155
2010,1,3,15,0,0.854977011680603,6.331200122833252,167.5,6.963500022888184,7.815800189971924,45740,9.101699829101562,3.4548499584198,0.2875399887561798
2010,1,3,18,0,0.8574640154838562,6.658400058746338,162.5,7.302499771118164,8.161999702453613,56232,9.101699829101562,3.7482099533081055,0.28077998757362366
2010,1,3,21,0,0.8460580110549927,6.972799777984619,157.5,7.61870002746582,8.484000205993652,64645,9.101699829101562,3.9415900707244873,0.27779000997543335
2010,1,4,0,0,0.850504994392395,6.829699993133545,157.5,7.546500205993652,8.48449993133545,96803,9.101699829101562,4.823530197143555,0.2853800058364868
2010,1,4,3,0,0.851265013217926,7.795899868011475,152.5,8.432900428771973,9.286499977111816,146935,10.01200008392334,5.679349899291992,0.2578299939632416
2010,1,4,6,0,0.8449289798736572,8.655200004577637,147.5,9.251299858093262,10.076499938964844,189809,11.013500213623047,6.196459770202637,0.24286000430583954
2010,1,4,9,0,0.8382200002670288,9.238100051879883,142.5,9.834600448608398,10.668000221252441,197646,11.013500213623047,6.14523983001709,0.2383500039577484
2010,1,4,12,0,0.843254029750824,9.554900169372559,132.5,10.188699722290039,11.074700355529785,186890,12.114999771118164,5.864920139312744,0.24126000702381134
2010,1,4,15,0,0.8475880026817322,10.160900115966797,132.5,10.702300071716309,11.48169994354248,162711,12.114999771118164,5.3745198249816895,0.22468000650405884
2010,1,4,18,0,0.8470780253410339,10.480299949645996,127.5,10.95009994506836,11.646400451660156,142497,12.114999771118164,4.99390983581543,0.2141599953174591
2010,1,4,21,0,0.8454880118370056,10.582599639892578,127.5,11.011699676513672,11.671199798583984,126868,12.114999771118164,4.707099914550781,0.21160000562667847
2010,1,5,0,0,0.8377289772033691,10.468099594116211,127.5,10.918499946594238,11.601400375366211,114215,12.114999771118164,4.479609966278076,0.21595999598503113
2010,1,5,3,0,0.8182910084724426,9.807700157165527,127.5,10.480400085449219,11.342499732971191,102950,12.114999771118164,4.301300048828125,0.23469999432563782
2010,1,5,6,0,0.7826709747314453,7.982999801635742,132.5,9.132100105285645,10.54170036315918,95026,12.114999771118164,4.287139892578125,0.2976599931716919
2010,1,5,9,0,0.7302129864692688,7.009399890899658,142.5,8.090800285339355,9.628800392150879,91894,12.114999771118164,4.411739826202393,0.34689000248908997
2010,1,5,12,0,0.6887789964675903,6.939700126647949,157.5,7.837200164794922,9.184900283813477,91976,12.114999771118164,4.51894998550415,0.3543800115585327
2010,1,5,15,0,0.7171679735183716,6.745999813079834,177.5,7.541800022125244,8.734600067138672,115570,9.101699829101562,5.194540023803711,0.3530600070953369
2010,1,5,18,0,0.7304880023002625,7.13670015335083,187.5,7.928299903869629,9.098600387573242,121220,10.01200008392334,5.212069988250732,0.34217000007629395
2010,1,5,21,0,0.7801880240440369,7.3267998695373535,187.5,8.100500106811523,9.212300300598145,154382,10.01200008392334,5.845379829406738,0.325300008058548
2010,1,6,0,0,0.7879859805107117,7.843200206756592,192.5,8.561100006103516,9.608400344848633,162937,10.01200008392334,5.879640102386475,0.30472999811172485
2010,1,6,3,0,0.8149769902229309,7.956900119781494,192.5,8.699399948120117,9.741499900817871,181993,11.013500213623047,6.171350002288818,0.29284000396728516
2010,1,6,6,0,0.8217700123786926,8.657600402832031,187.5,9.298299789428711,10.231399536132812,167131,11.013500213623047,5.770370006561279,0.2677200138568878
2010,1,6,9,0,0.8041239976882935,9.277600288391113,182.5,9.805700302124023,10.602399826049805,131142,11.013500213623047,5.0211501121521,0.2437800019979477
2010,1,6,12,0,0.781665027141571,9.625499725341797,177.5,10.071999549865723,10.761199951171875,106105,11.013500213623047,4.483029842376709,0.22696000337600708
2010,1,6,15,0,0.759128987789154,9.739500045776367,172.5,10.164799690246582,10.8149995803833,95770,11.013500213623047,4.248489856719971,0.21893000602722168
2010,1,6,18,0,0.7363449931144714,9.107000350952148,167.5,9.812600135803223,10.670900344848633,94250,11.013500213623047,4.243159770965576,0.23494000732898712
2010,1,6,21,0,0.7196779847145081,7.767600059509277,167.5,8.75469970703125,10.009300231933594,95249,11.013500213623047,4.404799938201904,0.28944000601768494
2010,1,7,0,0,0.7294009923934937,7.411799907684326,177.5,8.268500328063965,9.46030044555664,95357,11.013500213623047,4.53341007232666,0.3050599992275238
2010,1,7,3,0,0.7725369930267334,7.366399765014648,187.5,8.137900352478027,9.212800025939941,96838,11.013500213623047,4.629350185394287,0.2965100109577179
2010,1,7,6,0,0.7920359969139099,7.1616997718811035,187.5,7.961999893188477,9.066200256347656,91356,11.013500213623047,4.532800197601318,0.30112001299858093
2010,1,7,9,0,0.7889260053634644,7.024099826812744,192.5,7.798600196838379,8.892399787902832,89225,11.013500213623047,4.523200035095215,0.30581000447273254
2010,1,7,12,0,0.7857149839401245,7.095300197601318,197.5,7.880000114440918,8.98840045928955,86639,11.013500213623047,4.43326997756958,0.30535998940467834
2010,1,7,15,0,0.7833729982376099,7.118599891662598,197.5,7.935100078582764,9.09000015258789,92348,11.013500213623047,4.551390171051025,0.31088000535964966
2010,1,7,18,0,0.7987099885940552,7.4882001876831055,192.5,8.333200454711914,9.512299537658691,89908,11.013500213623047,4.389800071716309,0.3019999861717224
2010,1,7,21,0,0.7973120212554932,7.6707000732421875,187.5,8.576000213623047,9.779500007629395,84763,11.013500213623047,4.203710079193115,0.29475000500679016
2010,1,8,0,0,0.7823659777641296,8.656999588012695,182.5,9.327500343322754,10.242500305175781,75020,11.013500213623047,3.86395001411438,0.2553099989891052
2010,1,8,3,0,0.7620059847831726,8.853599548339844,177.5,9.514699935913086,10.369000434875488,65602,11.013500213623047,3.591170072555542,0.24196000397205353
2010,1,8,6,0,0.7458500266075134,9.072799682617188,172.5,9.63700008392334,10.391200065612793,57707,11.013500213623047,3.3645200729370117,0.22967000305652618
2010,1,8,9,0,0.735319972038269,8.9197998046875,167.5,9.543899536132812,10.302200317382812,51130,11.013500213623047,3.180690050125122,0.22654999792575836
2010,1,8,12,0,0.7259010076522827,8.748299598693848,162.5,9.41819953918457,10.178199768066406,44990,11.013500213623047,3.001810073852539,0.2244199961423874
2010,1,8,15,0,0.7223989963531494,7.210000038146973,162.5,8.375200271606445,9.65779972076416,40021,11.013500213623047,2.9072399139404297,0.2756099998950958
2010,1,8,18,0,0.7286450266838074,6.348700046539307,157.5,7.390999794006348,8.8371000289917,37637,10.01200008392334,2.9477200508117676,0.3323200047016144
2010,1,8,21,0,0.7294650077819824,6.275199890136719,157.5,7.249800205230713,8.596799850463867,33913,10.01200008392334,2.8369998931884766,0.3306100070476532
2010,1,9,0,0,0.7237690091133118,6.665800094604492,152.5,7.581299781799316,8.765700340270996,28756,10.01200008392334,2.586740016937256,0.3028999865055084
2010,1,9,3,0,0.7192239761352539,6.611000061035156,152.5,7.565199851989746,8.765899658203125,24865,10.01200008392334,2.405440092086792,0.2991499900817871
2010,1,9,6,0,0.7103549838066101,6.247700214385986,152.5,7.265100002288818,8.588199615478516,22348,10.01200008392334,2.30430006980896,0.3157599866390228
2010,1,9,9,0,0.6854419708251953,5.494999885559082,162.5,6.380000114440918,7.787799835205078,23257,10.01200008392334,2.4692699909210205,0.37432000041007996
2010,1,9,12,0,0.7174509763717651,5.503699779510498,177.5,6.25629997253418,7.439799785614014,27036,10.01200008392334,2.7236900329589844,0.3665199875831604
2010,1,9,15,0,0.7610560059547424,5.6905999183654785,182.5,6.4131999015808105,7.512599945068359,30596,9.101699829101562,2.882970094680786,0.35161998867988586
