Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,124309,b'Federal',24.382,-80.643,-5,-5,49913.703,-,s,deg,s,deg,s,W/m,s,m,-,370,v1.0.0
Year,Month,Day,Hour,Minute,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width
2010,1,1,0,0,0.7749999761581421,2.9779000282287598,97.5,3.2565999031066895,3.682499885559082,470.6452331542969,4.0019001960754395,0.5164600014686584,0.33000001311302185
2010,1,1,3,0,0.765999972820282,3.0541999340057373,112.5,3.2959001064300537,3.646199941635132,457.52105712890625,3.651599884033203,0.5106499791145325,0.3018999993801117
2010,1,1,6,0,0.6990000009536743,3.1338999271392822,112.5,3.395400047302246,3.7848000526428223,409.9671325683594,3.651599884033203,0.4740000069141388,0.31470000743865967
2010,1,1,9,0,0.6570000052452087,2.9962000846862793,97.5,3.266900062561035,3.7186999320983887,319.94677734375,3.651599884033203,0.42326000332832336,0.3580999970436096
2010,1,1,12,0,0.6539999842643738,2.9349000453948975,97.5,3.184000015258789,3.608299970626831,255.65660095214844,3.331899881362915,0.38436999917030334,0.3714999854564667
2010,1,1,15,0,0.718999981880188,3.00570011138916,142.5,3.2188000679016113,3.5592000484466553,280.0730285644531,3.651599884033203,0.404229998588562,0.35120001435279846
2010,1,1,18,0,0.777999997138977,3.2014000415802,157.5,3.39490008354187,3.7225000858306885,260.53741455078125,3.651599884033203,0.37985000014305115,0.36320000886917114
2010,1,1,21,0,0.652999997138977,2.8689000606536865,157.5,3.1628000736236572,3.748500108718872,122.47856903076172,3.651599884033203,0.26186999678611755,0.5281000137329102
2010,1,2,0,0,0.949999988079071,3.1196999549865723,37.5,3.371299982070923,3.722399950027466,988.171875,4.0019001960754395,0.7421900033950806,0.30379998683929443
2010,1,2,3,0,0.9580000042915344,3.4834001064300537,37.5,3.7846999168395996,4.201200008392334,1606.586181640625,4.80649995803833,0.8875899910926819,0.2919999957084656
2010,1,2,6,0,0.9549999833106995,3.5597000122070312,37.5,3.869999885559082,4.3003997802734375,1624.5892333984375,4.80649995803833,0.8816800117492676,0.29179999232292175
2010,1,2,9,0,0.953000009059906,3.7355000972747803,37.5,4.056099891662598,4.4882001876831055,2253.560791015625,4.80649995803833,1.0154399871826172,0.2784000039100647
2010,1,2,12,0,0.9459999799728394,3.9142000675201416,37.5,4.267199993133545,4.740200042724609,2402.4765625,5.2677001953125,1.0195399522781372,0.2793999910354614
2010,1,2,15,0,0.9480000138282776,3.8338000774383545,52.5,4.222799777984619,4.777699947357178,1964.0384521484375,5.2677001953125,0.9186699986457825,0.30869999527931213
2010,1,2,18,0,0.949999988079071,3.7427000999450684,52.5,4.123600006103516,4.702099800109863,2079.147216796875,5.2677001953125,0.9530199766159058,0.32850000262260437
2010,1,2,21,0,0.9440000057220459,3.81850004196167,37.5,4.197800159454346,4.757500171661377,2489.694580078125,5.2677001953125,1.0364400148391724,0.3176000118255615
2010,1,3,0,0,0.9459999799728394,3.9054999351501465,37.5,4.294899940490723,4.870699882507324,2886.541015625,5.2677001953125,1.1024999618530273,0.31690001487731934
2010,1,3,3,0,0.9459999799728394,4.002099990844727,37.5,4.407700061798096,4.998899936676025,3195.958251953125,5.2677001953125,1.1448099613189697,0.314300000667572
2010,1,3,6,0,0.9470000267028809,4.039899826049805,37.5,4.478300094604492,5.129000186920166,3141.727783203125,5.7729997634887695,1.1205400228500366,0.32679998874664307
2010,1,3,9,0,0.949999988079071,4.047599792480469,37.5,4.507699966430664,5.212699890136719,3007.41748046875,6.3267998695373535,1.0875099897384644,0.3425000011920929
2010,1,3,12,0,0.9539999961853027,4.0954999923706055,37.5,4.575799942016602,5.337200164794922,2647.750732421875,6.3267998695373535,1.0082499980926514,0.35760000348091125
2010,1,3,15,0,0.9599999785423279,4.1493000984191895,37.5,4.660999774932861,5.488800048828125,2162.714111328125,6.3267998695373535,0.8984699845314026,0.3707999885082245
2010,1,3,18,0,0.9660000205039978,4.091800212860107,37.5,4.636099815368652,5.5441999435424805,1815.5775146484375,6.933700084686279,0.8193100094795227,0.38839998841285706
2010,1,3,21,0,0.9679999947547913,3.8469998836517334,37.5,4.371699810028076,5.320000171661377,1575.8043212890625,6.933700084686279,0.7798799872398376,0.41850000619888306
2010,1,4,0,0,0.9679999947547913,3.6684000492095947,37.5,4.157199859619141,5.073599815368652,1281.5478515625,6.933700084686279,0.72079998254776,0.4343000054359436
2010,1,4,3,0,0.9679999947547913,3.632200002670288,37.5,4.069900035858154,4.888000011444092,1080.0584716796875,4.385799884796143,0.6741600036621094,0.4287000000476837
2010,1,4,6,0,0.968999981880188,3.594899892807007,37.5,4.056300163269043,4.915500164031982,828.0586547851562,6.3267998695373535,0.5889099836349487,0.43369999527931213
2010,1,4,9,0,0.9670000076293945,3.3773000240325928,37.5,3.811500072479248,4.6834001541137695,693.2000122070312,6.3267998695373535,0.5527999997138977,0.460999995470047
2010,1,4,12,0,0.9639999866485596,3.30649995803833,37.5,3.708899974822998,4.521500110626221,648.6891479492188,4.0019001960754395,0.5445700287818909,0.4634999930858612
2010,1,4,15,0,0.9610000252723694,3.3410000801086426,37.5,3.7335000038146973,4.5152997970581055,582.0493774414062,4.0019001960754395,0.5159800052642822,0.45739999413490295
2010,1,4,18,0,0.9599999785423279,3.2888998985290527,37.5,3.670099973678589,4.445899963378906,515.349853515625,4.0019001960754395,0.4894700050354004,0.46549999713897705
2010,1,4,21,0,0.9610000252723694,3.2158000469207764,37.5,3.555500030517578,4.240200042724609,537.7463989257812,3.651599884033203,0.5122500061988831,0.4580000042915344
2010,1,5,0,0,0.9629999995231628,3.2446000576019287,37.5,3.5917999744415283,4.250199794769287,535.880615234375,4.0019001960754395,0.5108100175857544,0.43970000743865967
2010,1,5,3,0,0.9639999866485596,3.0764999389648438,37.5,3.4177000522613525,4.075099945068359,532.9183959960938,4.0019001960754395,0.5214700102806091,0.45019999146461487
2010,1,5,6,0,0.9599999785423279,3.103300094604492,37.5,3.4251999855041504,4.013199806213379,596.70263671875,4.0019001960754395,0.5557799935340881,0.42399999499320984
2010,1,5,9,0,0.9589999914169312,3.365000009536743,37.5,3.687000036239624,4.261000156402588,536.0082397460938,4.0019001960754395,0.50941002368927,0.4007999897003174
2010,1,5,12,0,0.9620000123977661,3.4804999828338623,37.5,3.8380000591278076,4.483799934387207,429.2974548339844,4.0019001960754395,0.44405001401901245,0.4081999957561493
2010,1,5,15,0,0.9679999947547913,3.3708999156951904,37.5,3.8017001152038574,4.5854997634887695,355.1422424316406,5.2677001953125,0.40015000104904175,0.43389999866485596
2010,1,5,18,0,0.9710000157356262,3.5044000148773193,37.5,3.9535999298095703,4.761000156402588,326.3907165527344,5.2677001953125,0.37602001428604126,0.4284000098705292
2010,1,5,21,0,0.9710000157356262,2.9489998817443848,37.5,3.4293999671936035,4.414000034332275,325.8563232421875,5.7729997634887695,0.39342001080513,0.4945000112056732
2010,1,6,0,0,0.9639999866485596,3.016700029373169,37.5,3.35479998588562,4.082900047302246,413.4320983886719,3.331899881362915,0.45890000462532043,0.48669999837875366
2010,1,6,3,0,0.9620000123977661,3.024199962615967,37.5,3.355600118637085,3.999799966812134,527.8187866210938,3.651599884033203,0.5242699980735779,0.45489999651908875
2010,1,6,6,0,0.9580000042915344,3.148900032043457,37.5,3.454400062561035,3.9739999771118164,866.6546020507812,4.0019001960754395,0.6726300120353699,0.39089998602867126
2010,1,6,9,0,0.949999988079071,3.371500015258789,37.5,3.6888999938964844,4.174099922180176,1297.348388671875,4.385799884796143,0.8010900020599365,0.34310001134872437
2010,1,6,12,0,0.9459999799728394,3.559999942779541,37.5,3.9072999954223633,4.423699855804443,1456.105712890625,4.80649995803833,0.8232600092887878,0.3310000002384186
2010,1,6,15,0,0.9480000138282776,3.751800060272217,52.5,4.112299919128418,4.645299911499023,1303.03857421875,4.80649995803833,0.7590699791908264,0.326200008392334
2010,1,6,18,0,0.953000009059906,3.816999912261963,52.5,4.203199863433838,4.783299922943115,1102.1358642578125,4.80649995803833,0.6877899765968323,0.3343999981880188
2010,1,6,21,0,0.9599999785423279,3.7232000827789307,37.5,4.127500057220459,4.763400077819824,939.350830078125,4.80649995803833,0.6366299986839294,0.3547999858856201
2010,1,7,0,0,0.9629999995231628,3.5889999866485596,37.5,4.015699863433838,4.711100101470947,908.795654296875,4.80649995803833,0.6303099989891052,0.3736000061035156
2010,1,7,3,0,0.9620000123977661,3.3879001140594482,37.5,3.7894999980926514,4.491300106048584,932.768310546875,4.80649995803833,0.6549299955368042,0.397599995136261
2010,1,7,6,0,0.9580000042915344,3.3013999462127686,37.5,3.6784000396728516,4.346799850463867,956.8797607421875,4.385799884796143,0.6747699975967407,0.4025999903678894
2010,1,7,9,0,0.9549999833106995,3.27839994430542,37.5,3.644200086593628,4.2829999923706055,982.8231811523438,4.0019001960754395,0.6890900135040283,0.39640000462532043
2010,1,7,12,0,0.9539999961853027,3.329200029373169,37.5,3.7112998962402344,4.373600006103516,935.2788696289062,4.385799884796143,0.6649100184440613,0.3937000036239624
2010,1,7,15,0,0.9589999914169312,3.555799961090088,37.5,3.9756999015808105,4.691800117492676,778.2388916015625,6.3267998695373535,0.5845000147819519,0.3862000107765198
2010,1,7,18,0,0.9670000076293945,3.771199941635132,37.5,4.221399784088135,4.979599952697754,647.064697265625,6.3267998695373535,0.5166500210762024,0.37860000133514404
2010,1,7,21,0,0.9700000286102295,3.7708001136779785,37.5,4.251500129699707,5.064300060272217,526.7652587890625,6.933700084686279,0.46233999729156494,0.3869999945163727
2010,1,8,0,0,0.9649999737739563,3.1431000232696533,37.5,3.6642000675201416,4.669300079345703,421.9832763671875,6.933700084686279,0.43386000394821167,0.45820000767707825
2010,1,8,3,0,0.9449999928474426,3.123699903488159,37.5,3.574399948120117,4.518499851226807,336.8524169921875,6.933700084686279,0.3935199975967407,0.477400004863739
2010,1,8,6,0,0.890999972820282,3.205899953842163,37.5,3.6328001022338867,4.529900074005127,277.1263122558594,4.80649995803833,0.35589998960494995,0.4717000126838684
2010,1,8,9,0,0.8429999947547913,3.2016000747680664,37.5,3.610100030899048,4.476600170135498,231.96278381347656,4.80649995803833,0.32745999097824097,0.4708000123500824
2010,1,8,12,0,0.8230000138282776,3.1201999187469482,37.5,3.492300033569336,4.318600177764893,185.8419952392578,4.80649995803833,0.29853999614715576,0.48170000314712524
2010,1,8,15,0,0.7889999747276306,3.0320000648498535,52.5,3.3726000785827637,4.140900135040283,152.5614013671875,3.040299892425537,0.2765200138092041,0.4869999885559082
2010,1,8,18,0,0.781000018119812,2.993299961090088,52.5,3.3468000888824463,4.138899803161621,122.25955963134766,4.80649995803833,0.24785000085830688,0.49140000343322754
2010,1,8,21,0,0.7839999794960022,2.966599941253662,52.5,3.3619000911712646,4.248700141906738,98.35539245605469,4.80649995803833,0.21966999769210815,0.5008000135421753
2010,1,9,0,0,0.8259999752044678,3.026099920272827,37.5,3.4911000728607178,4.509399890899658,77.48782348632812,7.598899841308594,0.18926000595092773,0.5001999735832214
2010,1,9,3,0,0.8569999933242798,3.127500057220459,37.5,3.6412999629974365,4.742199897766113,61.954429626464844,7.598899841308594,0.16482999920845032,0.4941999912261963
2010,1,9,6,0,0.871999979019165,2.900099992752075,37.5,3.4414000511169434,4.65500020980835,51.34238052368164,7.598899841308594,0.15227000415325165,0.5228999853134155
2010,1,9,9,0,0.9259999990463257,2.2736001014709473,37.5,2.437700033187866,2.7948999404907227,168.01242065429688,2.5313000679016113,0.36267000436782837,0.47679999470710754
2010,1,9,12,0,0.9369999766349792,3.0710999965667725,37.5,3.311800003051758,3.6238999366760254,1024.615478515625,4.0019001960754395,0.7666299939155579,0.2630000114440918
2010,1,9,15,0,0.9419999718666077,3.5510001182556152,37.5,3.833400011062622,4.190499782562256,1644.0601806640625,4.385799884796143,0.8985000252723694,0.25049999356269836
2010,1,9,18,0,0.9509999752044678,3.5824999809265137,37.5,3.8901000022888184,4.290299892425537,1628.490966796875,4.80649995803833,0.8837500214576721,0.263700008392334
2010,1,9,21,0,0.9559999704360962,3.709399938583374,37.5,4.015399932861328,4.40910005569458,1975.4925537109375,4.80649995803833,0.95933997631073,0.2567000091075897
2010,1,10,0,0,0.9589999914169312,3.7855000495910645,37.5,4.115699768066406,4.53849983215332,2017.9512939453125,5.2677001953125,0.9554799795150757,0.26019999384880066
2010,1,10,3,0,0.9589999914169312,3.738600015640259,37.5,4.07390022277832,4.5192999839782715,1906.012451171875,5.2677001953125,0.9307500123977661,0.2721000015735626
2010,1,10,6,0,0.9580000042915344,3.8564000129699707,37.5,4.192500114440918,4.641200065612793,2251.895263671875,5.2677001953125,0.9976800084114075,0.27239999175071716
2010,1,10,9,0,0.9570000171661377,3.8434998989105225,37.5,4.189700126647949,4.656199932098389,3064.463623046875,5.2677001953125,1.16211998462677,0.2786000072956085
2010,1,10,12,0,0.9549999833106995,4.267899990081787,37.5,4.638299942016602,5.111599922180176,4464.1455078125,5.7729997634887695,1.336859941482544,0.25940001010894775
